ain't,is not
amn't,am not
aren't,are not
cain't,can not
can't,can not
couldn't,could not
could've,could have
daren't,dare not
daresn't,dare not
doesn't,does not
don't,do not
e'er,ever
everyone's,everyone is
finna,fixing to
gimme,give me
gotta,got to
hadn't,had not
hasn't,has not
haven't,have not
he'd,he would
he'll,he will
he's,he is
how'd,how did
how'll,how will
how're,how are
how's,how is
i'd,i would
i'll,i will
i'm,i am
i'm'a,i am about to
i'm'o,i am going to
isn't,is not
it'd,it would
it'll,it will
it's,it is
let's,let us
ma'am,madam
mayn't,may not
may've,may have
mightn't,might not
might've,might have
mustn't,must not
needn't,need not
ne'er,never
o'er,over
ol',old
oughtn't,ought not
shan't,shall not
she'd,she would
she'll,she will
she's,she is
shouldn't,should not
should've,should have
somethin',something
that'd,that would
that'll,that will
that're,that are
that's,that is
there'd,there would
there'll,there will
there're,there are
there's,there is
these're,these are
they'd,they would
they'll,they will
they're,they are
those're,those are
'tis,it is
to-morrow,tomorrow
'twas,it was
wanna,want to
wasn't,was not
we'd,we would
we'll,we will
we're,we are
weren't,were not
what'd,what would
what'll,what will
what're,what are
what's,what is
what've,what have
when's,when is
when'd,when did
when's,when is
where'd,where did
where're,where are
where've,where have
which's,which is
who'd,who would
who'd've,who would have
who'll,who will
who's,who is
who've,who have
why'd,why would
why's,why is
why'll,why will
why're,why are
won't,will not
woulda,would have
would've,would have
wouldn't,would not
would've,would have
y'all,you all
you'd,you would
you'll,you will
you're,you are
ain’t,is not
amn’t,am not
aren’t,are not
cain’t,can not
can’t,can not
couldn’t,could not
could’ve,could have
daren’t,dare not
daresn’t,dare not
doesn’t,does not
don’t,do not
e’er,ever
everyone’s,everyone is
finna,fixing to
gimme,give me
gotta,got to
hadn’t,had not
hasn’t,has not
haven’t,have not
he’d,he would
he’ll,he will
he’s,he is
how’d,how did
how’ll,how will
how’re,how are
how’s,how is
i’d,i would
i’ll,i will
i’m,i am
i’m’a,i am about to
i’m’o,i am going to
isn’t,is not
it’d,it would
it’ll,it will
it’s,it is
let’s,let us
ma’am,madam
mayn’t,may not
may’ve,may have
mightn’t,might not
might’ve,might have
mustn’t,must not
needn’t,need not
ne’er,never
o’er,over
ol’,old
oughtn’t,ought not
shan’t,shall not
she’d,she would
she’ll,she will
she’s,she is
shouldn’t,should not
should’ve,should have
somethin’,something
that’d,that would
that’ll,that will
that’re,that are
that’s,that is
there’d,there would
there’ll,there will
there’re,there are
there’s,there is
these’re,these are
they’d,they would
they’ll,they will
they’re,they are
those’re,those are
’tis,it is
to-morrow,tomorrow
’twas,it was
wanna,want to
wasn’t,was not
we’d,we would
we’ll,we will
we’re,we are
weren’t,were not
what’d,what would
what’ll,what will
what’re,what are
what’s,what is
what’ve,what have
when’s,when is
when’d,when did
when’s,when is
where’d,where did
where’re,where are
where’ve,where have
which’s,which is
who’d,who would
who’d’ve,who would have
who’ll,who will
who’s,who is
who’ve,who have
why’d,why would
why’s,why is
why’ll,why will
why’re,why are
won’t,will not
woulda,would have
would’ve,would have
wouldn’t,would not
would’ve,would have
y’all,you all
you’d,you would
you’ll,you will
you’re,you are
