
informality,negligence,lethargy,negligence,dignity
nonchalance,disdain,indifference,disdain,sobriety
naturalness,carelessness,insensitivity,inattention,equanimity
familiarity,inattention,negligence,apathy,self-assurance
poise,apathy,disdain,disrespect,poise
composure,lack,inattention,scorn,aplomb
easiness,nonchalance,apathy,indifference,serenity
carelessness,alienation,disrespect,neglect,self-control
inattention,disinterest,scorn,contempt,fortitude
apathy,disregard,indifference,omit,equilibrium
disregard,inertia,neglect,disobey,control
disinterestedness,insensitivity,contempt,overlook,self-possession
unconcern,callousness,simplicity,neglect,coolness
,lethargy,nonchalance,forget,repose
,coolness,composure,inadvertence,stability
,stoicism,quickness,omission,polish
,neutrality,dexterity,lethargy,ease
,disinterestedness,familiarity,slight,dispassion
,impartiality,poise,heedlessness,nonchalance
,dispassion,efficiency,neglecting,contentment
,equity,flexibility,listlessness,calm
,objectivity,aplomb,disinterest,assurance
,immunity,fluency,disesteem,harmony
,torpor,negligence,oblivion,accord
,impassivity,disdain,unconcern,tranquility
,listlessness,carelessness,omitting,moderation
,detachment,inattention,disfavor,imperturbability
,heedlessness,apathy,oversight,cool
,aloofness,lack,lassitude,quietude
,coldness,nonchalance,slighting,evenness
,unconcern,alienation,brush-off,quiet
,impassiveness,disinterest,overlooking,sedateness
,unmindfulness,disregard,forgetting,sang-froid
,insouciance,inertia,insouciance,balance
,isolationism,insensitivity,unmindfulness,placidity
,noninterference,callousness,disparage,coolheadedness
,cold-bloodedness,inactivity,disdain,inexcitability
,,disinterest,miss,levelheadedness
,,apathy,slight,
,,drowsiness,despise,
,,casualness,contemn,
,,indifference,overpass,
,,casualness,discount,
,,simplicity,snub,
,,spontaneity,fail,
,,familiarity,scorn,
,,nonchalance,pooh-pooh,
,,passiveness,vilipend,
,,dullness,cold-shoulder,
,,coolness,,
,,insensibility,,
,,stoicism,,
,,listlessness,,
,,dispassion,,
,,aloofness,,
,,detachment,,
,,coldness,,
,,unconcern,,
,,disinterest,,
,,disregard,,
,,unresponsiveness,,
,,heedlessness,,
,,lassitude,,
,,emotionlessness,,
,,passivity,,
,,inadvertence,,
,,omission,,
,,lethargy,,
,,slight,,
,,heedlessness,,
,,neglecting,,
,,listlessness,,
,,disinterest,,
,,disesteem,,
,,oblivion,,
,,unconcern,,
,,omitting,,
,,disfavor,,
,,oversight,,
,,lassitude,,
,,slighting,,
,,brush-off,,
,,overlooking,,
,,forgetting,,
,,unmindfulness,,
,,cinch,,
,,adroitness,,
,,dispatch,,
,,naturalness,,
,,expertise,,
,,cleverness,,
,,liberty,,
,,snap,,
,,informality,,
,,pushover,,
,,affability,,
,,knack,,
,,smoothness,,
,,readiness,,
,,expertness,,
,,setup,,
,,breeze,,
,,effortlessness,,
,,unconstraint,,
,,easygoingness,,
,,unaffectedness,,
,,skillfulness,,
,,lethargy,,
,,coolness,,
,,stoicism,,
,,neutrality,,
,,disinterestedness,,
,,impartiality,,
,,dispassion,,
,,equity,,
,,objectivity,,
,,immunity,,
,,torpor,,
,,impassivity,,
,,listlessness,,
,,detachment,,
,,heedlessness,,
,,aloofness,,
,,coldness,,
,,unconcern,,
,,impassiveness,,
,,unmindfulness,,
,,isolationism,,
,,noninterference,,
,,inertness,,
,,sloth,,
,,torpidity,,
,,sleep,,
,,languor,,
,,idleness,,
,,indifference,,
,,impassivity,,
,,dullness,,
,,unconcern,,
,,inaction,,
,,torpor,,
,,passiveness,,
,,sleepiness,,
,,listlessness,,
,,coma,,
,,heedlessness,,
,,inertia,,
,,stupor,,
,,slumber,,
,,hebetude,,
,,slowness,,
,,disregard,,
,,indolence,,
,,lassitude,,
,,phlegm,,
,,inanition,,
,,torpidness,,
,,unmindfulness,,
,,disregard,,
,,composure,,
,,nonchalance,,
,,apathy,,
,,indifference,,
,,inactivity,,
,,inertness,,
,,apathy,,
,,heedlessness,,
,,idleness,,
,,listlessness,,
,,dullness,,
,,disregard,,
,,inertia,,
,,impassivity,,
,,coma,,
,,languor,,
,,indolence,,
,,disinterest,,
,,indifference,,
,,lassitude,,
,,inaction,,
,,inanition,,
,,drowsiness,,
,,lethargy,,
,,coolness,,
,,stoicism,,
,,unresponsiveness,,
,,stolidity,,
,,disinterest,,
,,dispassion,,
,,dullness,,
,,passiveness,,
,,stolidness,,
,,insensibility,,
,,listlessness,,
,,detachment,,
,,heedlessness,,
,,indifference,,
,,aloofness,,
,,coldness,,
,,unconcern,,
,,disregard,,
,,lassitude,,
,,phlegm,,
,,emotionlessness,,
,,passivity,,
,,insensitivity,,
,,unimportance,,
,,lethargy,,
,,coolness,,
,,lack,,
,,stoicism,,
,,neutrality,,
,,disinterestedness,,
,,negligence,,
,,disinterest,,
,,impartiality,,
,,dispassion,,
,,nonchalance,,
,,impassivity,,
,,objectivity,,
,,immunity,,
,,torpor,,
,,inattention,,
,,equity,,
,,listlessness,,
,,detachment,,
,,heedlessness,,
