
gloomy,pensive,sour,funereal,dim,melancholy,grief-stricken,apologetic,distressing,forlorn,dim,poignant,dim,distressing,stunning,poor,depressed,distressing,sentimental,sad,genuine,wretched,apologetic,distressing,blue-green,austere,gloomy,melancholic,morose,inconsolable,perturbed,afflicted,downward,forlorn,lonely,funereal,melancholy,heartbroken,blue,dejected,dull,small,blue,mournful,pessimistic,melancholy,sober,distraught,teary,black,dispossess,regret,harm,lamentable,distressing,dreadful,disappointing,tedious,elegiac,heavy,dreadful,unlucky,downcast,sad,distressing,mournful,onerous,ratty,distressed,distressing,pathetic,dismal,melancholy,abject,affectionate,troublesome,dishearten,pester,dismay,dreadful,discourage
depressed,somber,harsh,melancholy,horrid,sad,sad,touched,melancholy,sad,misty,feeble,horrid,dreadful,inspiring,dreadful,miserable,dreary,pathetic,fateful,deliberate,gloomy,touched,wretched,dirty,black,dispirited,grief-stricken,forlorn,bad,shaky,cheerless,off,discouraged,pathetic,dim,morose,distressed,dejected,depressed,tired,flat,crestfallen,sorrowful,melancholy,sullen,dreamy,puzzled,wailing,bleak,oust,lament,mar,grievous,unsatisfactory,destructive,dreary,dingy,solemn,subdued,outrageous,woeful,dejected,tearful,unsatisfactory,sorrowful,overbearing,shoddy,dolorous,unsuitable,depressed,discouraging,lugubrious,affecting,bathetic,embarrassing,dispirit,unsettle,discourage,outrageous,dishearten
despondent,gloomy,acrimonious,solemn,murky,pensive,brokenhearted,contrite,sad,anguished,murky,woeful,murky,grievous,persuasive,atrocious,sorry,sad,heartrending,miserable,sincere,tragic,contrite,paltry,turquoise,bleak,morose,melancholy,dejected,black,miffed,crestfallen,low,blue,depressed,murky,depressed,anguished,depressed,despondent,longing,little,dejected,mournful,macabre,grouchy,thoughtful,distressed,sobbing,blue,sadden,cry,injure,unfortunate,wretched,unfortunate,depressing,wretched,somber,sage,monstrous,cursed,dreary,weeping,wretched,mournful,dictatorial,run-down,lachrymose,regrettable,forlorn,disheartening,gloomy,afflicted,corny,annoying,discourage,displease,dispirit,monstrous,grieve
sad,wistful,rancorous,dull,discouraging,forlorn,doleful,bad,lugubrious,bereft,shadowy,heartbreaking,discouraging,calamitous,gripping,cheap,troubled,heartbreaking,sad,dreadful,thoughtful,pathetic,bad,shabby,royal,blue,despondent,suicidal,sad,blue,anxious,dejected,sinking,down,oppressed,overcast,sad,cheerless,despairing,doleful,pining,below,discouraged,sorrowful,unnatural,testy,contemplative,unsettled,teary-eyed,cheerless,rob,ache,bruise,catastrophic,unbearable,catastrophic,gloomy,lonely,lugubrious,quiet,atrocious,ill-fated,depressing,weepy,pitiful,sorrowful,unjust,scruffy,lamentable,unacceptable,despicable,crushing,wistful,base,dewy-eyed,worrisome,,rattle,humble,atrocious,dispirit
glum,trite,resentful,dark,sad,nostalgic,heartsick,sorrowful,heartrending,cheerless,overcast,miserable,sad,lamentable,meaningful,unacceptable,despondent,gloomy,heartbreaking,deadly,honest,sad,sorrowful,pathetic,azure,dark,crestfallen,pessimistic,glum,cheerless,agitated,depressed,depressed,bad,despondent,somber,gloomy,dejected,disappointed,melancholy,droopy,depressed,down,bleak,ghoulish,cranky,wistful,concerned,blubbering,crestfallen,leave,weep,wound,regrettable,dreadful,calamitous,dismal,humdrum,gloomy,earnest,egregious,loser,dismal,teary,grievous,bleak,inhuman,decaying,lamenting,disappointing,gloomy,demoralizing,blue,beggarly,dreamy,distressing,,confuse,deter,egregious,dash
discouraged,mournful,vitriolic,earnest,depressing,thoughtful,sorrowful,pitiful,affecting,depressed,somber,pitiful,depressing,disappointing,eloquent,sad,troubled,dismal,touching,calamitous,severe,poor,pitiful,insignificant,navy,dejected,glum,depressed,discouraged,cold,jittery,dismal,descending,low,deserted,dreary,dismal,depressed,disconsolate,sad,listless,poor,forlorn,gloomy,ghastly,dour,absorbed,confused,howling,dejected,strip,wail,damage,devastating,scandalous,terrible,dispiriting,monotonous,mournful,sedate,lamentable,luckless,miserable,,unfortunate,gloomy,cruel,dilapidated,moist,deficient,tragic,saddening,downcast,cheerless,effusive,startling,,irritate,deject,lamentable,desolate
bleak,sorrowful,stinging,gloomy,ghastly,dreamy,heartsore,unhappy,mournful,disconsolate,cloudy,deplorable,ghastly,heartbreaking,poignant,lousy,bleak,dispiriting,moving,unfortunate,major,wretched,unhappy,sad,indigo,depressed,discouraged,dejected,disheartened,crestfallen,distraught,dispirited,inferior,moody,desolate,cloudy,blue,despairing,down,unhappy,sluggish,little,gloomy,pensive,gruesome,sad,abstracted,anxious,nodding,despondent,divest,agonize,sting,heartbreaking,regrettable,harmful,bleak,colorless,black,sober,deplorable,miserable,bleak,,calamitous,pensive,brutal,pitiful,mournful,mediocre,hopeless,cheerless,down,comfortless,gushy,alarming,,worry,daunt,deplorable,distress
fatalistic,grim,severe,weighty,horrible,contemplative,,distressing,plaintive,distressing,dingy,sorry,horrible,shameful,heartbreaking,crummy,blue,bleak,emotional,pitiful,grievous,pathetic,distressing,touching,sapphire,desolate,disheartened,blue,blue,dark,troubled,distressing,downgrade,brooding,desperate,dismal,dejected,down,forlorn,,melancholy,paltry,melancholy,sad,grim,ugly,attentive,pained,tearful,disconsolate,,sadden,impair,pernicious,reprehensible,adverse,disheartening,boring,bleak,dull,calamitous,star-crossed,black,,sad,sad,depressing,tattered,pathetic,amiss,abject,gloomy,bad,commiserative,idealistic,threatening,,bewilder,demoralize,calamitous,down
cynical,gloom,sour,sedate,miserable,mournful,,miserable,sorry,doleful,gloomy,distressing,miserable,dire,touching,awful,cheerless,disheartening,disturbing,fatal,dangerous,meager,miserable,dismal,ultramarine,despondent,drooping,oppressed,despairing,dejected,afflicted,dolorous,falling,cheerless,miserable,forlorn,dispirited,heartsick,inconsolable,,sad,sparse,woebegone,depressing,aberrant,gloomy,grave,disturbed,weepy,dismal,,bewail,punish,adverse,terrible,cataclysmic,black,damp,dark,dignified,flagrant,unhappy,blue,,lousy,depressing,burdensome,threadbare,pitiful,bad,miserable,joyless,low,compassionate,impressionable,discouraging,,perturb,humiliate,flagrant,deject
dark,desperation,hateful,sober,dull,plaintive,,pitiful,painful,grief-stricken,black,heartrending,dull,sad,heartrending,rough,crestfallen,daunting,passionate,harrowing,deep,sad,pitiful,miserable,cobalt,disconsolate,down,sunk,disconsolate,desolate,peeved,down,downhill,crestfallen,helpless,dull,down,heavyhearted,low,,unhappy,insignificant,,dismal,abnormal,glum,musing,agitated,grievous,dispirited,,sorrow,trouble,cataclysmic,lamentable,tragic,deterring,somber,dismal,muted,appalling,untoward,cheerless,,tragic,dismal,heavy-handed,worn,poignant,damaged,woeful,melancholy,weeping,contemptible,inane,irritating,,disquiet,crush,appalling,press
