Present ,Preterite ,Present continuous ,Present perfect ,Future ,Future perfect ,Past continuous ,Past perfect ,Future continuous ,Present perfect continuous ,Past perfect continuous ,Future perfect continuous 
 answer , answered , am answering , have answered , will answer , will have answered , was answering , had answered , will be answering , have been answering , had been answering , will have been answering 
 am , was , am being , have been , will be , will have been , was being , had been , will be being , have been being , had been being , will have been being 
 blaze , blazed , am blazing , have blazed , will blaze , will have blazed , was blazing , had blazed , will be blazing , have been blazing , had been blazing , will have been blazing 
 blow , blew , am blowing , have blown , will blow , will have blown , was blowing , had blown , will be blowing , have been blowing , had been blowing , will have been blowing 
 boil , boiled , am boiling , have boiled , will boil , will have boiled , was boiling , had boiled , will be boiling , have been boiling , had been boiling , will have been boiling 
 buy , bought , am buying , have bought , will buy , will have bought , was buying , had bought , will be buying , have been buying , had been buying , will have been buying 
 break , broke , am breaking , have broken , will break , will have broken , was breaking , had broken , will be breaking , have been breaking , had been breaking , will have been breaking 
 build , built , am building , have built , will build , will have built , was building , had built , will be building , have been building , had been building , will have been building 
 bustle , bustled , am bustling , have bustled , will bustle , will have bustled , was bustling , had bustled , will be bustling , have been bustling , had been bustling , will have been bustling 
 call , called , am calling , have called , will call , will have called , was calling , had called , will be calling , have been calling , had been calling , will have been calling 
 carry , carried , am carrying , have carried , will carry , will have carried , was carrying , had carried , will be carrying , have been carrying , had been carrying , will have been carrying 
 catch , caught , am catching , have caught , will catch , will have caught , was catching , had caught , will be catching , have been catching , had been catching , will have been catching 
 churn , churned , am churning , have churned , will churn , will have churned , was churning , had churned , will be churning , have been churning , had been churning , will have been churning 
 climb , climbed , am climbing , have climbed , will climb , will have climbed , was climbing , had climbed , will be climbing , have been climbing , had been climbing , will have been climbing 
 close , closed , am closing , have closed , will close , will have closed , was closing , had closed , will be closing , have been closing , had been closing , will have been closing 
 color , colored , am coloring , have colored , will color , will have colored , was coloring , had colored , will be coloring , have been coloring , had been coloring , will have been coloring 
 come , came , am coming , have come , will come , will have come , was coming , had come , will be coming , have been coming , had been coming , will have been coming 
 cover , covered , am covering , have covered , will cover , will have covered , was covering , had covered , will be covering , have been covering , had been covering , will have been covering 
 cry , cried , am crying , have cried , will cry , will have cried , was crying , had cried , will be crying , have been crying , had been crying , will have been crying 
 dance , danced , am dancing , have danced , will dance , will have danced , was dancing , had danced , will be dancing , have been dancing , had been dancing , will have been dancing 
 deceive , deceived , am deceiving , have deceived , will deceive , will have deceived , was deceiving , had deceived , will be deceiving , have been deceiving , had been deceiving , will have been deceiving 
 decide , decided , am deciding , have decided , will decide , will have decided , was deciding , had decided , will be deciding , have been deciding , had been deciding , will have been deciding 
 declare , declared , am declaring , have declared , will declare , will have declared , was declaring , had declared , will be declaring , have been declaring , had been declaring , will have been declaring 
 do , did , am doing , have done , will do , will have done , was doing , had done , will be doing , have been doing , had been doing , will have been doing 
 draw , drew , am drawing , have drawn , will draw , will have drawn , was drawing , had drawn , will be drawing , have been drawing , had been drawing , will have been drawing 
 drink , drank , am drinking , have drunk , will drink , will have drunk , was drinking , had drunk , will be drinking , have been drinking , had been drinking , will have been drinking 
 eat , ate , am eating , have eaten , will eat , will have eaten , was eating , had eaten , will be eating , have been eating , had been eating , will have been eating 
 fall , fell , am falling , have fallen , will fall , will have fallen , was falling , had fallen , will be falling , have been falling , had been falling , will have been falling 
 feel , felt , am feeling , have felt , will feel , will have felt , was feeling , had felt , will be feeling , have been feeling , had been feeling , will have been feeling 
 fix , fixed , am fixing , have fixed , will fix , will have fixed , was fixing , had fixed , will be fixing , have been fixing , had been fixing , will have been fixing 
 frighten , frightened , am frightening , have frightened , will frighten , will have frightened , was frightening , had frightened , will be frightening , have been frightening , had been frightening , will have been frightening 
 give , gave , am giving , have given , will give , will have given , was giving , had given , will be giving , have been giving , had been giving , will have been giving 
 go , went , am going , have gone , will go , will have gone , was going , had gone , will be going , have been going , had been going , will have been going 
 get , got , am getting , have got/gotten , will get , will have got/gotten , was getting , had got/gotten , will be getting , have been getting , had been getting , will have been getting 
 have , had , am having , have had , will have , will have had , was having , had had , will be having , have been having , had been having , will have been having 
 hang ,hung , am hanging , have hanged/hung , will hang , will have hanged/hung , was hanging , had hanged/hung , will be hanging , have been hanging , had been hanging , will have been hanging 
 help , helped , am helping , have helped , will help , will have helped , was helping , had helped , will be helping , have been helping , had been helping , will have been helping 
 hide , hid , am hiding , have hidden/hid , will hide , will have hidden/hid , was hiding , had hidden/hid , will be hiding , have been hiding , had been hiding , will have been hiding 
 hope , hoped , am hoping , have hoped , will hope , will have hoped , was hoping , had hoped , will be hoping , have been hoping , had been hoping , will have been hoping 
 huff , huffed , am huffing , have huffed , will huff , will have huffed , was huffing , had huffed , will be huffing , have been huffing , had been huffing , will have been huffing 
 hug , hugged , am hugging , have hugged , will hug , will have hugged , was hugging , had hugged , will be hugging , have been hugging , had been hugging , will have been hugging 
 hurt , hurt , am hurting , have hurt , will hurt , will have hurt , was hurting , had hurt , will be hurting , have been hurting , had been hurting , will have been hurting 
 jump , jumped , am jumping , have jumped , will jump , will have jumped , was jumping , had jumped , will be jumping , have been jumping , had been jumping , will have been jumping 
 keep , kept , am keeping , have kept , will keep , will have kept , was keeping , had kept , will be keeping , have been keeping , had been keeping , will have been keeping 
 kiss , kissed , am kissing , have kissed , will kiss , will have kissed , was kissing , had kissed , will be kissing , have been kissing , had been kissing , will have been kissing 
 knock , knocked , am knocking , have knocked , will knock , will have knocked , was knocking , had knocked , will be knocking , have been knocking , had been knocking , will have been knocking 
 know , knew , am knowing , have known , will know , will have known , was knowing , had known , will be knowing , have been knowing , had been knowing , will have been knowing 
 let , let , am letting , have let , will let , will have let , was letting , had let , will be letting , have been letting , had been letting , will have been letting 
 live , lived , am living , have lived , will live , will have lived , was living , had lived , will be living , have been living , had been living , will have been living 
 load , loaded , am loading , have loaded , will load , will have loaded , was loading , had loaded , will be loading , have been loading , had been loading , will have been loading 
 look , looked , am looking , have looked , will look , will have looked , was looking , had looked , will be looking , have been looking , had been looking , will have been looking 
 love , loved , am loving , have loved , will love , will have loved , was loving , had loved , will be loving , have been loving , had been loving , will have been loving 
 make , made , am making , have made , will make , will have made , was making , had made , will be making , have been making , had been making , will have been making 
 mean , meant , am meaning , have meant , will mean , will have meant , was meaning , had meant , will be meaning , have been meaning , had been meaning , will have been meaning 
 meet , met , am meeting , have met , will meet , will have met , was meeting , had met , will be meeting , have been meeting , had been meeting , will have been meeting 
 need , needed , am needing , have needed , will need , will have needed , was needing , had needed , will be needing , have been needing , had been needing , will have been needing 
 open , opened , am opening , have opened , will open , will have opened , was opening , had opened , will be opening , have been opening , had been opening , will have been opening 
 pass , passed , am passing , have passed , will pass , will have passed , was passing , had passed , will be passing , have been passing , had been passing , will have been passing 
 pick , picked , am picking , have picked , will pick , will have picked , was picking , had picked , will be picking , have been picking , had been picking , will have been picking 
 play , played , am playing , have played , will play , will have played , was playing , had played , will be playing , have been playing , had been playing , will have been playing 
 prepare , prepared , am preparing , have prepared , will prepare , will have prepared , was preparing , had prepared , will be preparing , have been preparing , had been preparing , will have been preparing 
 puff , puffed , am puffing , have puffed , will puff , will have puffed , was puffing , had puffed , will be puffing , have been puffing , had been puffing , will have been puffing 
 pull , pulled , am pulling , have pulled , will pull , will have pulled , was pulling , had pulled , will be pulling , have been pulling , had been pulling , will have been pulling 
 push , pushed , am pushing , have pushed , will push , will have pushed , was pushing , had pushed , will be pushing , have been pushing , had been pushing , will have been pushing 
 put , put , am putting , have put , will put , will have put , was putting , had put , will be putting , have been putting , had been putting , will have been putting 
 reach , reached , am reaching , have reached , will reach , will have reached , was reaching , had reached , will be reaching , have been reaching , had been reaching , will have been reaching 
 relax , relaxed , am relaxing , have relaxed , will relax , will have relaxed , was relaxing , had relaxed , will be relaxing , have been relaxing , had been relaxing , will have been relaxing 
 reply , replied , am replying , have replied , will reply , will have replied , was replying , had replied , will be replying , have been replying , had been replying , will have been replying 
 ride , rode , am riding , have ridden , will ride , will have ridden , was riding , had ridden , will be riding , have been riding , had been riding , will have been riding 
 rock , rocked , am rocking , have rocked , will rock , will have rocked , was rocking , had rocked , will be rocking , have been rocking , had been rocking , will have been rocking 
 roll , rolled , am rolling , have rolled , will roll , will have rolled , was rolling , had rolled , will be rolling , have been rolling , had been rolling , will have been rolling 
 run , ran , am running , have run , will run , will have run , was running , had run , will be running , have been running , had been running , will have been running 
 say , said , am saying , have said , will say , will have said , was saying , had said , will be saying , have been saying , had been saying , will have been saying 
 sit , sat , am sitting , have sat , will sit , will have sat , was sitting , had sat , will be sitting , have been sitting , had been sitting , will have been sitting 
 see , saw , am seeing , have seen , will see , will have seen , was seeing , had seen , will be seeing , have been seeing , had been seeing , will have been seeing 
 send , sent , am sending , have sent , will send , will have sent , was sending , had sent , will be sending , have been sending , had been sending , will have been sending 
 set , set , am setting , have set , will set , will have set , was setting , had set , will be setting , have been setting , had been setting , will have been setting 
 settle , settled , am settling , have settled , will settle , will have settled , was settling , had settled , will be settling , have been settling , had been settling , will have been settling 
 shake , shook , am shaking , have shaken , will shake , will have shaken , was shaking , had shaken , will be shaking , have been shaking , had been shaking , will have been shaking 
 sleep , slept , am sleeping , have slept , will sleep , will have slept , was sleeping , had slept , will be sleeping , have been sleeping , had been sleeping , will have been sleeping 
 slide , slid , am sliding , have slid , will slide , will have slid , was sliding , had slid , will be sliding , have been sliding , had been sliding , will have been sliding 
 seek , sought , am seeking , have sought , will seek , will have sought , was seeking , had sought , will be seeking , have been seeking , had been seeking , will have been seeking 
 spend , spent , am spending , have spent , will spend , will have spent , was spending , had spent , will be spending , have been spending , had been spending , will have been spending 
 stand , stood , am standing , have stood , will stand , will have stood , was standing , had stood , will be standing , have been standing , had been standing , will have been standing 
