Present ,Preterite ,Present continuous ,Present perfect ,Future ,Future perfect ,Past continuous ,Past perfect ,Future continuous ,Present perfect continuous ,Past perfect continuous ,Future perfect continuous 
 answer , answered , are answering , have answered , will answer , will have answered , were answering , had answered , will be answering , have been answering , had been answering , will have been answering 
 are , were , are being , have been , will be , will have been , were being , had been , will be being , have been being , had been being , will have been being 
 blaze , blazed , are blazing , have blazed , will blaze , will have blazed , were blazing , had blazed , will be blazing , have been blazing , had been blazing , will have been blazing 
 blow , blew , are blowing , have blown , will blow , will have blown , were blowing , had blown , will be blowing , have been blowing , had been blowing , will have been blowing 
 boil , boiled , are boiling , have boiled , will boil , will have boiled , were boiling , had boiled , will be boiling , have been boiling , had been boiling , will have been boiling 
 break , broke , are breaking , have broken , will break , will have broken , were breaking , had broken , will be breaking , have been breaking , had been breaking , will have been breaking 
 build , built , are building , have built , will build , will have built , were building , had built , will be building , have been building , had been building , will have been building 
 bustle , bustled , are bustling , have bustled , will bustle , will have bustled , were bustling , had bustled , will be bustling , have been bustling , had been bustling , will have been bustling 
 buy , bought , are buying , have bought , will buy , will have bought , were buying , had bought , will be buying , have been buying , had been buying , will have been buying 
 call , called , are calling , have called , will call , will have called , were calling , had called , will be calling , have been calling , had been calling , will have been calling 
 carry , carried , are carrying , have carried , will carry , will have carried , were carrying , had carried , will be carrying , have been carrying , had been carrying , will have been carrying 
 catch , caught , are catching , have caught , will catch , will have caught , were catching , had caught , will be catching , have been catching , had been catching , will have been catching 
 churn , churned , are churning , have churned , will churn , will have churned , were churning , had churned , will be churning , have been churning , had been churning , will have been churning 
 climb , climbed , are climbing , have climbed , will climb , will have climbed , were climbing , had climbed , will be climbing , have been climbing , had been climbing , will have been climbing 
 close , closed , are closing , have closed , will close , will have closed , were closing , had closed , will be closing , have been closing , had been closing , will have been closing 
 color , colored , are coloring , have colored , will color , will have colored , were coloring , had colored , will be coloring , have been coloring , had been coloring , will have been coloring 
 come , came , are coming , have come , will come , will have come , were coming , had come , will be coming , have been coming , had been coming , will have been coming 
 cover , covered , are covering , have covered , will cover , will have covered , were covering , had covered , will be covering , have been covering , had been covering , will have been covering 
